Publication ID / BibTeX Key,Title,Year,DOI,URL,Publication Type
ravulo_handbook_2024,Handbook of Critical Whiteness: Deconstructing Dominant Discourses Across Disciplines,2024,10.1007/978-981-97-5085-6,https://doi.org/10.1007/978-981-97-5085-6,Book
ravulo_pacific_2019,"Pacific Social Work: Navigating Practice, Policy and Research",2019,10.4324/9781315144252,https://doi.org/10.4324/9781315144252,Book
mcveigh_understanding_2025,Understanding Spirituality and the Sacred in Social Work Practice: Spirited Conversations,2025,10.4324/9781003400790,https://doi.org/10.4324/9781003400790,Book
ratuva_covid-19_2021,COVID-19 and Social Protection: A Study in Human Resilience and Social Solidarity,2021,10.1007/978-981-16-2948-8,https://doi.org/10.1007/978-981-16-2948-8,Book
ratuva_guns_2019,Guns & Roses: Comparative Civil–Military Relations in the Changing Security Environment,2019,10.1007/978-981-13-2008-8,https://doi.org/10.1007/978-981-13-2008-8,Book
mead_pacific_2007,Pacific Genes & Life Patents: Pacific Experiences & Analysis of the Commodification of Life,2007,,https://profiles.canterbury.ac.nz/Steven-Ratuva/publications,Book
ratuva_rethinking_2025,"Rethinking Climate Change, Security and Politics",2025,10.1007/978-981-96-4843-6,https://doi.org/10.1007/978-981-96-4843-6,Book
ratuva_risks_2021,"Risks, Identity and Conflict: Theoretical Perspectives and Case Studies",2021,10.1007/978-981-16-1486-6,https://doi.org/10.1007/978-981-16-1486-6,Book
ratuva_palgrave_2019,The Palgrave Handbook of Ethnicity,2019,10.1007/978-981-13-0242-8,https://doi.org/10.1007/978-981-13-0242-8,Book
ratuva_people_2016-1,The People Have Spoken: The 2014 Elections in Fiji,2016,10.22459/TPHS.03.2016,https://doi.org/10.22459/TPHS.03.2016,Book
ratuva_voices_2024,"Voices of the Pacific: Climate Crisis, Adaptation and Resilience—Pacific Ocean and Climate Crisis Assessment Report, Volume 1",2024,10.26021/15556,https://doi.org/10.26021/15556,Report
lako_food_2012,Food Safety Challenges in the Pacific: The Case of Fiji,2012,,https://repository.usp.ac.fj/view/creators/Lako=3AJimaima_V=2E=3A=3A.html,Book
morrison_fijis_1992,Fiji's Great Astrolabe Reef and Lagoon: A Baseline Study,1992,,,Book
dawson_proceedings_2019,"Proceedings of the Sociology, Gender Studies & Criminology, Social & Community Work Postgraduate Symposium III",2019,,,Book
