publication_id,publication_type,is_included,is_itaukei_associated,linked_provinces,used_non_provincial_flag,used_unsure_flag,verification_state,notes
gatiso_climate_2025,Journal Article,True,True,,False,False,,
aporosa_innovating_2025,Journal Article,True,True,,False,False,,
vave_cultural_2024,Journal Article,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
rokolekutu_politicization_2007,Master's Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
tuinamuana_global_2002,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
vosikata_influence_2015,PhD Thesis,True,True,,False,False,,
farazmand_human_2022,Book Chapter,True,True,,False,False,,
naidu_electricity_2024,Journal Article,True,True,,False,False,,
baledrokadroka_sacred_2012,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
veitayaki_chapter_2024,Book Chapter,True,True,,False,False,,
thomas_recent_2004,Journal Article,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
baleivanualala_molecular_2023,Journal Article,True,True,,False,False,,
baleivanualala_carbapenemase_2024,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
naduva_mandatory_2024,PhD Thesis,True,True,Fiji - no province specified,True,False,verified,
baleivanualala_environmental_2024,Journal Article,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
baleivanualala_molecular_2024,Journal Article,True,True,Ba; Macuata,False,False,verified,
waqavakatoga_fijian_2025,Journal Article,True,True,,False,False,,
tin_framework_2023,Journal Article,True,True,,False,False,,
watson_social_2017,Journal Article,True,False,,False,False,,
latu_barriers_2018,Journal Article,True,True,,False,False,,
waqa_exploring_2017,Journal Article,True,True,,False,False,,
coriakula_development_2018,Journal Article,True,True,,False,False,,
vakaciriwaqa_discovery_2022,Journal Article,True,True,Lomaiviti,False,False,verified,
tikoca_appraisal_2016,Journal Article,True,True,,False,False,,
tikoca_temporal_2016,Journal Article,True,True,,False,False,,
tikoca_comparison_2016,Journal Article,True,True,,False,False,,
waqavakatoga_international_2023,Report,True,False,,False,False,,
waqavakatoga_west_2021,Master's Thesis,True,False,,False,False,,
fong-lomavatu_plant_2024,Journal Article,True,True,,False,False,,
naqasima-sobey_role_2004,PhD Thesis,True,True,,False,False,,
balawanilotu-roach_comparative_2017,PhD Thesis,True,True,,False,False,,
bainivalu_bioremediation_2024,PhD Thesis,True,True,,False,False,,
dakuidreketi_contexts_2004,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
curuki_will_2019,PhD Thesis,True,True,,False,False,,
corerega-hawea_determinants_2020,Master's Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
copeland_seasonality_2013,Master's Thesis,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
cawanibuka_concepts_2016,Master's Thesis,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
cakacaka_livelihood_2018,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
cakacaka_effects_2007,Master's Thesis,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
cagivanua_reclaiming_2023,Master's Thesis,True,True,,False,False,,
cabealawa_educational_2013,Master's Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
butukoro_bureacratic_1995,Master's Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
bolatagici_somatic_2016,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
bola_potential_2020,Master's Thesis,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
bauleka_retrospective_2013,Master's Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
balenaivalu_fiji_2008,Master's Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
baleivolivoli_audit_2018,Master's Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
baleimakutu_characterization_2022,Master's Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
alagappan_towards_2025,PhD Thesis,True,False,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
ravuvu_fijian_1985,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
koroi_long_2010,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
wainiqolo_motor_2017,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
