Institution,Country,Latitude,Longitude,Flags
Auckland University of Technology,New Zealand,-36.8485,174.7633,
Australian National University,Australia,-35.2777,149.1185,
Central Queensland University,Australia,-27.46751404,153.0242157,
Christ's University of Pacific,Tonga,-21.13938,-175.2018,
Clemson University,United States,34.6686916,-82.8374348,
Deakin University,Australia,-38.1499,144.36,
Faith International University & Seminary,United States,47.2801461,-122.5168598,
Fiji National University,Fiji,-18.1416,178.4419,
Griffith University,Australia,-27.956,153.056,
Hokkaido University,Japan,43.0795634,141.3373222,
James Cook University,Australia,-19.3289618,146.756645,
Japan Women’s University,Japan,35.7167689,139.7205792,
Kagoshima University,Japan,31.5716047,130.5440871,
Kanazawa University,Japan,36.6575095,136.6473669,
Kobe University,Japan,34.6901,135.1955,
Kyoto University,Japan,35.0270467,135.7814382,
La Trobe University,Australia,-37.7213563,145.0488577,
Lincoln University,New Zealand,-43.644314,172.4653325,
Loughborough University,United Kingdom,52.7721,-1.2044,
Macquarie University,Australia,-33.774197,151.1127138,
Massey University,New Zealand,-40.3855,175.618,
Monash University,Australia,-37.7839745,144.9586743,
National Chung Hsing University,Taiwan,24.1477,120.6839,
National Pingtung University of Science and Technology,Taiwan,22.6572,120.6197,
Papua New Guinea University of Technology,Papua New Guinea,-6.6698434,146.9967775,
Pasifika Communities University,Fiji,-18.1416,178.4419,
Pepperdine University,United States,34.0385744,-118.7070564,
Royal Roads University,Canada,48.4303157,-123.4796493,
Sophia University,Japan,35.68395,139.7321744,
University of Fiji,Fiji,43.6691366,-79.4032594,
University of Queensland,Australia,-27.4975,153.0137,
University of the South Pacific,Fiji,-18.149,178.447,
Tohoku University,Japan,55.6986434,37.5344351,
Tokyo Medical and Dental University,Japan,35.6895,139.6917,
Tsinghua University,China,39.99064,116.28868,
Tulane University,United States,29.9412196,-90.1201009,
UNSW Sydney,Australia,-33.9173,151.2313,
University of Aberdeen,United Kingdom,57.164,-2.099,
University of Adelaide,Australia,-34.9189226,138.6042367,
University of Auckland,New Zealand,-36.8523,174.7691,
University of Birmingham,United Kingdom,52.4862,-1.8904,
University of Bremen,Germany,53.108,8.8517,
University of Canberra,Australia,-35.2809,149.13,
University of Canterbury,New Zealand,-43.522,172.58,
University of Divinity,Australia,-37.8056687,145.0367528,
University of Essex,United Kingdom,51.8787,0.947,
University of Glasgow,United Kingdom,55.8716587,-4.2883961,
University of Groningen,Netherlands,53.2194,6.5665,
University of Hawaiʻi at Mānoa,United States,21.2969,-157.8171,
University of Kent,United Kingdom,51.2950874,1.0673313,
University of London,United Kingdom,51.5074,-0.1278,
University of Malta,Malta,35.902,14.483,country_unresolved('Malta')
University of Melbourne,Australia,-37.8136,144.9631,
University of Minnesota,United States,44.9778,-93.265,
University of New England,Australia,-30.48908424,151.6424255,
University of Newcastle,Australia,-32.892,151.705,
University of Otago,New Zealand,-45.8788,170.5028,
University of Pavia,Italy,45.1869265,9.1568768,country_unresolved('Italy')
University of Reading,United Kingdom,51.457626,-0.945616,
University of South Australia,Australia,-37.8062142,140.766463,
University of Southampton,United Kingdom,50.934091,-1.395705,
University of Sussex,United Kingdom,50.867,-0.087,
