scholar_id,scholar,m_uni,m_city,m_country,m_region,p_uni,p_city,p_country,p_region
1,"Alifereti, Vasemaca Ledua",University of the South Pacific,Suva,Fiji,Oceania,Tsinghua University,Beijing,China,Asia
2,"Aporosa, Apo",Massey University,Palmerston North,New Zealand,Oceania,Massey University,Palmerston North,New Zealand,Oceania
,"Baba, Tupeni",University of Sydney,,Australia,Oceania,Macquarie University,,Australia,Oceania
25,"Cagivanua, Ulamila Monica",University of Hawaiʻi at Mānoa,Honolulu,USA,Americas,University of Hawaiʻi at Mānoa,Honolulu,USA,Americas
26,"Cakacaka, Akuila",University of the South Pacific,Suva,Fiji,Oceania,University of Bremen,Bremen,Germany,Europe
35,"Copeland, Lekima",University of the South Pacific,Suva,Fiji,Oceania,University of the South Pacific,Suva,Fiji,Oceania
39,"Dakuidreketi, Mesake Rawaikela",University of Waikato,Hamilton,New Zealand,Oceania,University of Canterbury,Christchurch,New Zealand,Oceania
,"Duaibe, Adi Salote Kuruibua",University of the South Pacific,Suva,Fiji,Oceania,University of the South Pacific,Suva,Fiji,Oceania
49,"Durutalo, Alumita Lawaniyavi",University of the South Pacific,Suva,Fiji,Oceania,Australian National University,Canberra,Australia,Oceania
52,"Finau, Glenn",University of the South Pacific,Suva,Fiji,Oceania,University of Sydney,Sydney,Australia,Oceania
476,"Fong, Patrick S.",University of the South Pacific,Suva,Fiji,Oceania,Lincoln University,Lincoln,New Zealand,Oceania
,"Gaunavou, Usaia",University of Waikato,,New Zealand,Oceania,Fiji National University,,Fiji,Oceania
72,"Kasanawaqa, Viliame",University of Malta,Msida,Malta,Europe,University of Canterbury,Christchurch,New Zealand,Oceania
,"Kedrayate, Akanisi",University of Glasgow,"Glasgow, Scotland",United Kingdom,Europe,University of New England,,Australia,Oceania
,"Korovulavula, Isoa",University of Queensland,,Australia,Oceania,University of Queensland,,Australia,Oceania
,"Kuridrani, Litiana",University of the South Pacific,,Fiji,Oceania,University of Queensland,,Australia,Oceania
95,"Lagi, Rosiana",University of New England,Armidale,Australia,Oceania,University of the South Pacific,Suva,Fiji,Oceania
,"Lako, Jimaima",Japan Women’s University,,Japan,Asia,Monash University,,Australia,Oceania
,"Lesuma, Vosawale",Clemson University,,USA,Americas,University of Sydney,,Australia,Oceania
106,"Leweniqila, Ilisoni",University of the South Pacific,Suva,Fiji,Oceania,Massey University,Palmerston North,New Zealand,Oceania
139,"Meo-Sewabu, Litea",Tulane University,New Orleans,USA,Americas,Massey University,Palmerston North,New Zealand,Oceania
140,"Movono, Apisalome",University of the South Pacific,Suva,Fiji,Oceania,Griffith University,Brisbane,Australia,Oceania
145,"Nabobo-Baba, Unaisi",University of the South Pacific,Suva,Fiji,Oceania,University of Auckland,Auckland,New Zealand,Oceania
588,"Naikatini, Alifereti Neisava",University of the South Pacific,Suva,Fiji,Oceania,University of the South Pacific,Suva,Fiji,Oceania
157,"Naisilisili, Sereima Volivoli",University of the South Pacific,Suva,Fiji,Oceania,University of the South Pacific,Suva,Fiji,Oceania
171,"Naqasima-Sobey, Milika",University of the South Pacific,Suva,Fiji,Oceania,University of Essex,Colchester,United Kingdom,Europe
175,"Nasalo, Salote S.",University of the South Pacific,Suva,Fiji,Oceania,University of the South Pacific,Suva,Fiji,Oceania
,"Nayacalevu, Romulo",University of the South Pacific,Suva,Fiji,Oceania,Australian National University,,Australia,Oceania
187,"Osborne-Naikatini, Tamara",University of the South Pacific,Suva,Fiji,Oceania,University of the South Pacific,Suva,Fiji,Oceania
189,"Puamau, Virisila Qolisaya Lidise",University of the South Pacific,Suva,Fiji,Oceania,University of Queensland,Brisbane,Australia,Oceania
